Name	Latitude	Longitude	Elevation
SMITHERS_BC_CA	54:49:29:N	127:10:58:W	521.80m
STATION_LAC_BENOIT_QC_CA	46:03:00:N	70:48:00:W	304.80m
STATION_ROBERVAL_QC_CA	48:31:00:N	72:16:00:W	178.60m
STEPHENVILLE_NL_CA	48:32:00:N	58:33:00:W	24.70m
ST_ANTHONY_NL_CA	51:22:00:N	55:36:00:W	11.50m
ST_CATHARINES_ON_CA	43:12:00:N	79:10:00:W	97.80m
ST_JOHNS_NL_CA	47:37:20:N	52:44:34:W	140.50m
ST_LAWRENCE_NL_CA	46:55:00:N	55:23:00:W	48.50m
ST_STEPHEN_NB_CA	48:32:00:N	58:33:00:W	24.70m
SUDBURY_ON_CA	46:37:32:N	80:47:52:W	348.40m
SUMMERSIDE_PE_CA	46:26:20:N	63:49:54:W	19.50m
SUTTON_JUNCTION_QC_CA	45:04:00:N	72:41:00:W	243.80m
SWIFT_CURRENT_SK_CA	50:18:00:N	107:41:00:W	816.90m
SYDNEY_NS_CA	46:10:00:N	60:02:53:W	61.90m
TERRACE_BC_CA	54:27:59:N	128:34:39:W	217.30m
TESLIN_YT_CA	60:10:26:N	132:44:09:W	705.00m
THE_PAS_MB_CA	53:58:00:N	101:06:00:W	270.40m
THOMPSON_MB_CA	55:48:12:N	97:51:45:W	224.00m
THUNDER_BAY_ON_CA	48:22:10:N	89:19:38:W	199.00m
TIMMINS_ON_CA	48:34:11:N	81:22:36:W	294.70m
TOFINO_BC_CA	49:04:56:N	125:46:21:W	24.50m
TORONTO_ISLAND_ON_CA	43:37:43:N	79:23:42:W	76.50m
TORONTO_PEARSON_INTL_ON_CA	43:40:38:N	79:37:50:W	173.40m
TRENTON_ON_CA	44:07:00:N	77:32:00:W	86.30m
TROIS-RIVIERES_QC_CA	46:23:00:N	72:37:00:W	54.90m
TRURO_NS_CA	45:22:00:N	63:16:00:W	39.90m
TUKTOYAKTUK_NT_CA	69:26:00:N	133:01:35:W	4.30m
VAL_DOR_QC_CA	48:03:23:N	77:47:12:W	337.40m
VANCOUVER_INTL_BC_CA	49:11:42:N	123:10:55:W	4.30m
VICTORIA_INTL_BC_CA	48:38:50:N	123:25:33:W	19.50m
WABUSH_LAKE_NL_CA	52:55:38:N	66:52:27:W	551.40m
WATSON_LAKE_YT_CA	60:06:59:N	128:49:20:W	687.40m
WAWA_ON_CA	47:58:00:N	84:47:00:W	287.10m
WEST_VANCOUVER_BC_CA	49:15:00:N	123:15:00:W	76.00m
WHISTLER_BC_CA	50:07:44:N	122:57:17:W	657.80m
WHITECOURT_AB_CA	54:08:38:N	115:47:12:W	782.40m
WHITEHORSE_YT_CA	60:42:34:N	135:04:07:W	706.20m
WIARTON_ON_CA	44:44:45:N	81:06:26:W	222.20m
WILLIAMS_LAKE_BC_CA	52:10:59:N	122:03:15:W	939.70m
WINDSOR_ON_CA	42:16:32:N	82:57:20:W	189.60m
WINNIPEG_INTL_MB_CA	49:55:00:N	97:14:00:W	238.70m
WYNYARD_SK_CA	51:46:00:N	104:12:00:W	560.80m
YARMOUTH_NS_CA	43:49:51:N	66:05:19:W	43.00m
YELLOWKNIFE_NT_CA	62:27:46:N	114:26:25:W	205.70m
YORKTON_SK_CA	51:16:00:N	102:28:00:W	498.30m
AMHERST_NS_CA	45.816667	-64.2167206	22m	
ARGENTIA_NL_CA	47.302052	-53.986824	6m	
BADGER_NL_CA	48.980886	-56.038213	93m	
